acousticness,class,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,num_bars,num_sections,num_segments,tempo,time_signature,title,valence
0.424,1,0.928,117761,0.305,7svJ308NOS6EMHd7D1YZnw,0.734,11,0.0792,-16.385,0,65,5,520,133.98,4,amber,0.234
2.64e-05,1,0.38,176346,0.988,6nTiIhLmQ3FWhvrGafw2zj,7.86e-05,1,0.368,-2.042,1,134,9,729,186.113,4,American Idiot,0.769
0.00852,1,0.516,241427,0.768,3wBIDJLDvo0h0u1mKU9Bm6,8.49e-06,9,0.136,-4.964,1,114,10,770,115.005,4,Amsterdam,0.204
0.0401,1,0.735,226128,0.852,0Yz3F0UGDibDe8uU69zmjn,0.0,2,0.196,-3.85,1,92,13,844,98.494,4,And July (feat. DEAN & DJ Friz),0.788
0.0605,1,0.698,232187,0.633,3GCdLUSnKSMJhs4Tj6CV3s,0.000194,8,0.0926,-4.946,1,92,12,976,96.924,4,All The Stars (with SZA),0.552
0.0359,1,0.604,214440,0.831,6tBdTwcyyGq1HU3PXgZK82,0.00854,5,0.105,-5.72,0,78,7,928,89.994,4,All The Things She Said,0.447
0.0244,1,0.439,129000,0.291,5TdKQtQXE6lPJfYhi59lAZ,0.641,3,0.358,-10.665,0,30,5,570,39.97,4,All Us,0.397
0.874,1,0.382,169187,0.0682,3pGNBm0zULLn7K9Vvxjjz1,0.915,4,0.0801,-19.178,1,57,5,538,84.451,4,Almost Home,0.34
0.000185,1,0.279,231013,0.742,5s8TNhF23nv2Pumf0JTe2i,0.0,4,0.593,-6.46,0,162,11,921,189.868,4,Animals,0.328
0.724,1,0.657,116492,0.564,393Zq7DKr6IxkmJp5bRe6j,0.257,11,0.372,-4.523,1,67,5,442,140.035,4,anything in the world,0.444
0.00573,1,0.521,225947,0.673,5vYA1mW9g2Coh1HUFUSmlb,0.0,8,0.12,-8.685,1,100,8,830,108.031,4,3AM,0.543
0.163,1,0.68,207130,0.724,2jiI8bNSDu7UxTtDCOqh3L,0.0,6,0.349,-5.633,0,94,9,759,109.974,4,21,0.566
0.454,1,0.688,192000,0.177,60ONwBU0GgM3kJhPEOhTx0,0.626,8,0.376,-14.061,0,64,9,682,79.994,4,About The Distance,0.316
0.0244,1,0.585,217079,0.887,0oSNOJEcBIKNcQzRc5TfyR,0.0,0,0.361,-3.825,0,82,11,850,92.971,4,Blood Sweat & Tears,0.528
0.0195,1,0.299,221053,0.754,2auTfKFcoQd7z2uFCeuaww,1.3e-06,5,0.103,-4.078,0,156,10,708,169.373,4,Bleeding Out,0.295
0.085,1,0.752,231827,0.678,1p80LdxRV74UKvL8gnD7ky,1.64e-06,5,0.13,-5.421,1,92,10,856,96.009,4,Blank Space,0.583
0.0289,1,0.413,212960,0.856,07nH4ifBxUB4lZcsf44Brn,0.00571,0,0.343,-4.078,0,101,10,824,128.017,4,Blame,0.35
0.192,1,0.635,262693,0.647,6LtPIXlIzPOTF8vTecYjRe,0.0,5,0.154,-5.865,1,111,14,946,104.054,4,Bleeding Love,0.203
0.936,1,0.61,174000,0.147,0uNKf8j4cNI1DLWpps877e,0.956,7,0.111,-17.832,0,55,7,538,79.954,4,blankets,0.117
0.0298,1,0.651,227191,0.756,2tdq0CeAGSfhI2l4Gwkvgx,0.0,8,0.396,-4.388,1,114,10,842,121.96,4,Best Of Me,0.473
0.0629,1,0.673,194240,0.902,5Hroj5K7vLpIG4FNCRIjbP,0.000174,2,0.0552,-2.378,1,78,8,725,100.016,4,Best Day Of My Life,0.521
0.0984,1,0.442,229413,0.585,4T3fNx3CgwDRRYgmFCbD4J,0.391,0,0.14,-10.332,0,91,9,800,97.565,4,Better,0.116
0.000769,1,0.366,255627,0.94,5FZxsHWIvUsmSK1IAvm2pp,9.42e-05,1,0.188,-5.119,0,137,10,865,130.198,4,Best of You,0.369
0.318,1,0.638,125067,0.0703,5DPOA0BfvqhGuiuosDgzMN,0.937,0,0.107,-12.257,1,41,6,419,77.366,4,Christmas Chill,0.648
0.0208,1,0.571,186973,0.539,0mBKv9DkYfQHjdMcw2jdyI,0.0,5,0.125,-4.446,0,157,7,715,202.103,4,Chunky,0.727
4e-05,1,0.393,219382,0.959,1uDhHTNIBF5BJQWTjKnCoa,0.000569,1,0.1,-4.343,1,159,11,712,185.226,4,Celebration Song,0.61
0.0115,1,0.809,132038,0.581,2CvcVMkyBhXHD9d0QIpw4X,0.000513,10,0.345,-8.294,0,80,5,591,149.949,4,Chaos,0.369
0.0154,1,0.714,225173,0.852,10VuRG4YCjIDFxTliN02MP,0.0,9,0.135,-2.76,0,126,14,887,133.989,4,Catch Me If You Can - Korean Version,0.565
0.748,1,0.679,110071,0.45,69gdXYtXQEX9xNeEto8K0q,0.0589,0,0.101,-10.428,1,37,6,409,80.075,4,Cause,0.364
0.139,1,0.548,208862,0.885,1D7e4LrjdB4mKaI9XYrmPY,0.0,6,0.0716,-1.48,1,149,11,785,172.946,4,CHEER UP,0.509
0.871,1,0.652,180000,0.403,28PYwyQETvCDNXMRBFAtzr,0.808,9,0.0742,-14.328,0,101,7,444,140.012,4,Choke,0.089
0.000125,1,0.257,276587,0.973,7zC7nXQPpj7oVeboU5lYOP,0.00667,0,0.122,-4.887,1,162,10,980,129.051,4,Chariots,0.458
0.214,1,0.556,266347,0.595,0rpIH5otu7ykvZPdcQuRPh,8.33e-05,9,0.125,-4.51,1,114,15,816,104.001,4,Chasing Cars,0.144
0.0518,1,0.268,321093,0.742,64yrDBpcdwEdNY9loyEGbX,0.0,5,0.626,-4.939,1,214,9,837,159.779,4,21 Guns,0.416
0.153,1,0.664,230063,0.688,38td8VabuKlQt72Q2VnhbO,9.14e-05,11,0.173,-6.466,0,99,8,950,106.022,4,134340,0.65
0.0192,1,0.694,220238,0.832,0QIRm9sUkGnezGznkWCqCo,0.0,5,0.355,-3.038,0,121,10,874,135.011,4,BANG BANG BANG,0.424
0.00264,1,0.695,294640,0.919,6MjiVEJy1YVuJNFu72OH61,4.1e-05,0,0.062,-3.769,1,143,12,1115,119.002,4,Bad Romance,0.717
0.0214,1,0.827,183020,0.739,1EYSS9Lp7a9f20C3FaOVgI,4.13e-06,8,0.043,-6.391,1,73,9,796,95.999,4,Baby Don’t Stop,0.352
0.843,1,0.746,114000,0.217,27lhifdMn6erYRxLq1lrxA,0.932,4,0.331,-11.789,0,74,4,449,160.135,4,Awakening,0.46
